X,Y
50.0,100.0
51.25,100.0
52.5,100.0
53.75,100.0
55.0,100.0
56.25,100.0
57.5,100.0
58.75,100.0
60.0,100.0
61.25,100.0
62.5,100.0
63.75,100.0
65.0,100.0
66.25,100.0
67.5,100.0
68.75,100.0
70.0,100.0
71.25,100.0
72.5,100.0
73.75,100.0
75.0,100.0
76.25,101.25
77.5,102.5
78.75,103.75
80.0,105.0
81.25,106.25
82.5,107.5
83.75,108.75
85.0,110.0
86.25,111.25
87.5,112.5
88.75,113.75
90.0,113.75
91.25,113.75
92.5,113.75
93.75,113.75
95.0,113.75
96.25,113.75
97.5,113.75
98.75,113.75
100.0,113.75
101.25,113.75
102.5,113.75
103.75,113.75
105.0,113.75
106.25,113.75
107.5,113.75
108.75,113.75
110.0,113.75
111.25,113.75
112.5,113.75
113.75,113.75
115.0,113.75
116.25,113.75
117.5,113.75
118.75,113.75
120.0,113.75
121.25,113.75
122.5,113.75
123.75,113.75
125.0,113.75
126.25,113.75
127.5,113.75
128.75,113.75
130.0,113.75
131.25,113.75
132.5,113.75
133.75,113.75
135.0,113.75
136.25,113.75
137.5,113.75
138.75,113.75
140.0,113.75
141.25,113.75
142.5,113.75
143.75,113.75
145.0,113.75
146.25,113.75
147.5,113.75
148.75,113.75
150.0,113.75
151.25,113.75
152.5,113.75
153.75,113.75
155.0,113.75
156.25,113.75
157.5,113.75
158.75,113.75
160.0,113.75
161.25,113.75
162.5,113.75
163.75,113.75
165.0,113.75
166.25,113.75
167.5,113.75
168.75,113.75
170.0,113.75
171.25,113.75
172.5,113.75
173.75,113.75
175.0,113.75
176.25,113.75
177.5,113.75
178.75,113.75
180.0,113.75
181.25,113.75
182.5,113.75
183.75,113.75
185.0,113.75
186.25,113.75
187.5,113.75
188.75,113.75
190.0,113.75
191.25,113.75
192.5,113.75
193.75,113.75
195.0,113.75
196.25,113.75
197.5,113.75
198.75,113.75
200.0,113.75
201.25,113.75
202.5,113.75
203.75,113.75
205.0,113.75
206.25,113.75
207.5,113.75
208.75,112.5
210.0,112.5
211.25,111.25
212.5,110.0
213.75,110.0
215.0,108.75
216.25,108.75
217.5,107.5
218.75,106.25
220.0,106.25
221.25,105.0
222.5,105.0
223.75,103.75
225.0,102.5
226.25,102.5
227.5,101.25
228.75,101.25
230.0,100.0
