X,Y
50.0,20.0
51.25,20.0
52.5,20.0
53.75,20.0
56.25,21.25
58.75,22.5
61.25,23.75
63.75,25.0
66.25,26.25
68.75,27.5
71.25,28.75
73.75,30.0
76.25,31.25
78.75,32.5
80.0,32.5
82.5,33.75
85.0,35.0
87.5,36.25
90.0,37.5
92.5,38.75
95.0,40.0
97.5,41.25
100.0,42.5
102.5,43.75
105.0,45.0
107.5,46.25
108.75,46.25
110.0,46.25
111.25,46.25
112.5,46.25
113.75,46.25
116.25,47.5
118.75,48.75
121.25,50.0
123.75,51.25
126.25,52.5
128.75,53.75
131.25,55.0
133.75,56.25
136.25,57.5
138.75,58.75
141.25,60.0
143.75,61.25
146.25,62.5
148.75,63.75
151.25,65.0
153.75,66.25
156.25,67.5
158.75,68.75
161.25,70.0
163.75,71.25
166.25,72.5
168.75,73.75
171.25,75.0
173.75,76.25
176.25,77.5
178.75,78.75
181.25,80.0
183.75,81.25
186.25,82.5
188.75,83.75
191.25,85.0
193.75,86.25
196.25,87.5
197.5,88.75
200.0,90.0
201.25,91.25
202.5,92.5
203.75,93.75
205.0,95.0
206.25,96.25
207.5,97.5
208.75,98.75
210.0,100.0
