X,Y
60.0,80.0
61.25,80.0
62.5,80.0
63.75,80.0
65.0,80.0
66.25,80.0
67.5,80.0
68.75,80.0
70.0,80.0
71.25,80.0
72.5,80.0
73.75,80.0
75.0,80.0
76.25,80.0
77.5,80.0
78.75,80.0
80.0,80.0
81.25,80.0
82.5,80.0
83.75,81.25
85.0,82.5
86.25,83.75
87.5,85.0
88.75,86.25
90.0,87.5
91.25,88.75
92.5,90.0
93.75,90.0
95.0,91.25
96.25,91.25
97.5,91.25
98.75,91.25
100.0,91.25
101.25,91.25
102.5,91.25
103.75,91.25
105.0,91.25
106.25,91.25
107.5,91.25
108.75,91.25
110.0,91.25
111.25,91.25
112.5,91.25
113.75,91.25
115.0,91.25
116.25,91.25
117.5,91.25
118.75,91.25
120.0,91.25
121.25,91.25
122.5,91.25
123.75,91.25
125.0,91.25
126.25,91.25
127.5,91.25
128.75,91.25
130.0,91.25
131.25,91.25
132.5,91.25
133.75,91.25
135.0,91.25
136.25,91.25
137.5,91.25
138.75,91.25
140.0,91.25
141.25,91.25
142.5,90.0
143.75,90.0
145.0,88.75
146.25,88.75
147.5,87.5
148.75,86.25
150.0,86.25
151.25,85.0
152.5,85.0
153.75,83.75
155.0,82.5
156.25,82.5
157.5,81.25
158.75,81.25
160.0,80.0
