X,Y
340.5,200.25
338.0,201.5
336.75,201.5
335.5,201.5
334.25,201.5
333.0,201.5
331.75,201.5
330.5,201.5
329.25,201.5
328.0,201.5
326.75,201.5
325.5,201.5
324.25,201.5
323.0,201.5
321.75,201.5
320.5,201.5
319.25,201.5
318.0,201.5
316.75,201.5
315.5,201.5
314.25,201.5
313.0,201.5
311.75,201.5
310.5,201.5
309.25,201.5
308.0,201.5
306.75,201.5
305.5,201.5
304.25,201.5
303.0,201.5
301.75,201.5
300.5,201.5
299.25,201.5
298.0,201.5
296.75,201.5
295.5,201.5
294.25,201.5
293.0,201.5
291.75,201.5
290.5,201.5
289.25,201.5
288.0,201.5
286.75,201.5
285.5,201.5
284.25,201.5
283.0,201.5
281.75,201.5
280.5,201.5
279.25,201.5
278.0,201.5
276.75,201.5
275.5,201.5
274.25,201.5
273.0,201.5
271.75,201.5
270.5,201.5
269.25,201.5
268.0,201.5
266.75,201.5
265.5,201.5
264.25,201.5
263.0,201.5
261.75,201.5
260.5,201.5
259.25,201.5
258.0,201.5
256.75,201.5
255.5,201.5
254.25,201.5
253.0,201.5
251.75,201.5
250.5,201.5
249.25,201.5
248.0,201.5
246.75,201.5
244.25,202.75
241.75,204.0
239.25,205.25
236.75,206.5
234.25,207.75
231.75,209.0
229.25,210.25
226.75,211.5
224.25,212.75
221.75,214.0
219.25,215.25
216.75,216.5
214.25,217.75
211.75,219.0
209.25,220.25
208.0,220.25
206.75,220.25
205.5,220.25
204.25,220.25
203.0,220.25
201.75,220.25
200.5,220.25
199.25,220.25
198.0,220.25
196.75,220.25
195.5,220.25
194.25,220.25
193.0,220.25
190.5,219.0
189.25,219.0
188.0,219.0
185.5,217.75
184.25,217.75
183.0,217.75
181.75,217.75
179.25,216.5
176.75,215.25
175.5,215.25
174.25,215.25
173.0,215.25
171.75,215.25
169.25,214.0
168.0,214.0
166.75,214.0
165.5,214.0
163.0,212.75
161.75,212.75
160.5,212.75
158.0,211.5
156.75,211.5
155.5,211.5
153.0,210.25
151.75,210.25
150.5,210.25
149.25,210.25
146.75,209.0
145.5,209.0
144.25,209.0
141.75,207.75
140.5,207.75
138.0,206.5
135.5,205.25
133.0,204.0
130.5,202.75
128.0,201.5
126.75,201.5
125.5,201.5
124.25,201.5
123.0,201.5
121.75,201.5
120.5,201.5
119.25,201.5
118.0,201.5
116.75,201.5
115.5,201.5
114.25,201.5
113.0,201.5
111.75,201.5
110.5,201.5
109.25,201.5
108.0,201.5
106.75,201.5
105.5,201.5
104.25,201.5
103.0,201.5
101.75,201.5
100.5,201.5
99.25,201.5
98.0,201.5
96.75,201.5
95.5,201.5
94.25,201.5
93.0,201.5
91.75,201.5
90.5,201.5
89.25,201.5
88.0,201.5
86.75,201.5
85.5,201.5
84.25,201.5
83.0,201.5
81.75,201.5
80.5,201.5
79.25,201.5
78.0,201.5
76.75,201.5
75.5,201.5
74.25,201.5
73.0,201.5
71.75,201.5
70.5,201.5
69.25,201.5
68.0,201.5
66.75,201.5
65.5,201.5
64.25,201.5
63.0,201.5
60.5,200.25
59.25,200.25
58.0,200.25
56.75,200.25
55.5,200.25
54.25,200.25
53.0,200.25
51.75,200.25
50.5,200.25
49.25,200.25
48.0,200.25
46.75,200.25
45.5,200.25
44.25,200.25
43.0,200.25
41.75,200.25
40.5,200.25
39.25,200.25
38.0,200.25
36.75,200.25
35.5,200.25
34.25,200.25
33.0,200.25
31.75,200.25
30.5,200.25
29.25,200.25
28.0,200.25
26.75,200.25
25.5,200.25
24.25,200.25
23.0,200.25
21.75,200.25
20.5,200.25
19.25,200.25
18.0,200.25
16.75,200.25
15.5,200.25
14.25,200.25
13.0,200.25
11.75,200.25
10.5,200.25
9.25,200.25
8.0,200.25
6.75,200.25
5.5,200.25
4.25,200.25
3.0,200.25
1.75,200.25
0.5,200.25
