X,Y
0.0,200.0
1.25,200.0
2.5,200.0
3.75,200.0
6.25,201.25
8.75,202.5
11.25,203.75
13.75,205.0
16.25,206.25
17.5,206.25
18.75,206.25
20.0,206.25
22.5,207.5
23.75,207.5
25.0,207.5
27.5,208.75
28.75,208.75
30.0,208.75
31.25,208.75
32.5,208.75
33.75,208.75
35.0,208.75
36.25,208.75
37.5,208.75
38.75,208.75
40.0,208.75
41.25,208.75
42.5,208.75
43.75,208.75
45.0,208.75
46.25,208.75
47.5,208.75
48.75,208.75
50.0,208.75
51.25,208.75
52.5,208.75
53.75,208.75
55.0,208.75
56.25,208.75
57.5,208.75
58.75,208.75
60.0,208.75
61.25,208.75
62.5,208.75
63.75,208.75
65.0,208.75
67.5,210.0
70.0,211.25
72.5,212.5
73.75,212.5
75.0,212.5
76.25,212.5
77.5,212.5
78.75,212.5
80.0,212.5
81.25,212.5
82.5,212.5
83.75,212.5
85.0,212.5
86.25,212.5
87.5,212.5
88.75,212.5
90.0,212.5
91.25,212.5
92.5,212.5
93.75,212.5
95.0,212.5
96.25,212.5
97.5,212.5
98.75,212.5
100.0,212.5
101.25,212.5
102.5,212.5
103.75,212.5
105.0,212.5
107.5,213.75
110.0,215.0
112.5,216.25
113.75,216.25
115.0,216.25
116.25,216.25
117.5,216.25
118.75,216.25
120.0,216.25
121.25,216.25
122.5,216.25
123.75,216.25
125.0,216.25
126.25,216.25
127.5,216.25
128.75,216.25
130.0,216.25
131.25,216.25
132.5,216.25
133.75,216.25
135.0,216.25
136.25,216.25
137.5,216.25
138.75,216.25
140.0,216.25
141.25,216.25
142.5,216.25
143.75,216.25
145.0,216.25
146.25,216.25
147.5,216.25
148.75,216.25
150.0,216.25
151.25,216.25
152.5,216.25
153.75,216.25
155.0,216.25
156.25,216.25
157.5,216.25
158.75,216.25
160.0,216.25
161.25,216.25
162.5,216.25
163.75,216.25
165.0,216.25
166.25,216.25
167.5,216.25
168.75,216.25
170.0,216.25
171.25,216.25
172.5,216.25
173.75,216.25
175.0,216.25
176.25,216.25
177.5,216.25
178.75,216.25
180.0,216.25
181.25,216.25
182.5,216.25
185.0,217.5
186.25,217.5
188.75,218.75
190.0,218.75
191.25,218.75
192.5,218.75
193.75,218.75
196.25,220.0
197.5,220.0
198.75,220.0
200.0,220.0
201.25,220.0
202.5,220.0
203.75,220.0
205.0,220.0
206.25,220.0
207.5,220.0
208.75,220.0
210.0,220.0
211.25,220.0
212.5,220.0
213.75,220.0
215.0,220.0
216.25,220.0
217.5,220.0
218.75,220.0
220.0,220.0
221.25,220.0
222.5,220.0
223.75,220.0
225.0,220.0
226.25,220.0
227.5,220.0
228.75,220.0
230.0,220.0
231.25,220.0
232.5,220.0
233.75,220.0
236.25,218.75
238.75,217.5
241.25,216.25
243.75,215.0
246.25,213.75
247.5,212.5
248.75,211.25
250.0,210.0
251.25,208.75
252.5,207.5
253.75,206.25
256.25,205.0
258.75,203.75
261.25,202.5
263.75,201.25
266.25,200.0
268.75,198.75
271.25,197.5
272.5,197.5
273.75,197.5
275.0,197.5
276.25,197.5
277.5,197.5
278.75,197.5
280.0,197.5
281.25,197.5
282.5,197.5
283.75,197.5
285.0,197.5
286.25,197.5
287.5,197.5
288.75,197.5
290.0,197.5
291.25,197.5
292.5,197.5
293.75,197.5
295.0,197.5
296.25,197.5
297.5,197.5
298.75,197.5
300.0,197.5
301.25,197.5
302.5,197.5
303.75,197.5
305.0,197.5
306.25,197.5
307.5,197.5
308.75,197.5
310.0,197.5
311.25,197.5
312.5,197.5
313.75,197.5
315.0,197.5
317.5,198.75
320.0,200.0
