X,Y
50.0,100.0
51.25,98.75
52.5,97.5
53.75,96.25
55.0,95.0
56.25,93.75
57.5,92.5
58.75,91.25
60.0,90.0
61.25,88.75
62.5,87.5
63.75,86.25
65.0,85.0
66.25,83.75
67.5,83.75
68.75,83.75
70.0,83.75
71.25,83.75
72.5,83.75
73.75,83.75
75.0,83.75
76.25,83.75
77.5,83.75
78.75,83.75
80.0,83.75
81.25,83.75
82.5,83.75
83.75,83.75
85.0,83.75
86.25,83.75
87.5,83.75
88.75,83.75
90.0,83.75
91.25,83.75
92.5,83.75
93.75,83.75
95.0,83.75
96.25,83.75
97.5,83.75
98.75,83.75
100.0,83.75
101.25,83.75
102.5,83.75
103.75,83.75
105.0,83.75
106.25,83.75
107.5,83.75
108.75,83.75
110.0,83.75
111.25,83.75
112.5,83.75
113.75,83.75
115.0,83.75
116.25,83.75
117.5,83.75
118.75,83.75
120.0,83.75
121.25,83.75
122.5,83.75
123.75,83.75
125.0,83.75
126.25,83.75
127.5,83.75
128.75,83.75
130.0,83.75
131.25,83.75
132.5,83.75
133.75,83.75
135.0,85.0
136.25,86.25
137.5,87.5
138.75,88.75
140.0,90.0
141.25,91.25
142.5,92.5
143.75,93.75
145.0,95.0
146.25,96.25
147.5,97.5
148.75,98.75
150,100
