X,Y
50.0,20.0
51.25,20.0
52.5,20.0
53.75,20.0
55.0,20.0
56.25,20.0
57.5,20.0
58.75,20.0
60.0,20.0
61.25,20.0
62.5,20.0
63.75,20.0
65.0,20.0
66.25,20.0
67.5,20.0
68.75,20.0
70.0,20.0
71.25,20.0
72.5,20.0
73.75,20.0
75.0,20.0
76.25,20.0
77.5,20.0
78.75,20.0
80.0,20.0
81.25,20.0
82.5,20.0
83.75,21.25
85.0,22.5
86.25,23.75
87.5,25.0
88.75,26.25
90.0,27.5
91.25,28.75
92.5,30.0
93.75,31.25
95.0,32.5
96.25,33.75
97.5,35.0
98.75,36.25
100.0,37.5
101.25,38.75
102.5,40.0
103.75,41.25
105.0,42.5
106.25,43.75
107.5,45.0
108.75,46.25
110.0,47.5
111.25,48.75
112.5,50.0
113.75,51.25
115.0,51.25
116.25,51.25
117.5,51.25
118.75,51.25
120.0,51.25
121.25,51.25
122.5,51.25
123.75,52.5
125.0,52.5
126.25,52.5
127.5,52.5
128.75,52.5
130.0,52.5
131.25,52.5
132.5,52.5
133.75,52.5
135.0,52.5
136.25,52.5
137.5,52.5
138.75,52.5
140.0,52.5
141.25,52.5
142.5,52.5
143.75,52.5
145.0,52.5
146.25,52.5
147.5,52.5
148.75,52.5
150.0,52.5
151.25,52.5
152.5,52.5
153.75,52.5
155.0,52.5
156.25,52.5
157.5,52.5
158.75,52.5
160.0,52.5
161.25,52.5
162.5,52.5
163.75,52.5
165.0,52.5
166.25,52.5
167.5,52.5
168.75,52.5
170.0,52.5
171.25,52.5
172.5,52.5
173.75,52.5
175.0,52.5
176.25,52.5
177.5,52.5
178.75,53.75
180.0,53.75
181.25,53.75
182.5,55.0
183.75,56.25
185.0,56.25
186.25,56.25
187.5,57.5
188.75,58.75
190.0,60.0
191.25,61.25
192.5,62.5
193.75,63.75
195.0,65.0
196.25,66.25
197.5,67.5
198.75,68.75
200.0,70.0
201.25,71.25
202.5,72.5
203.75,73.75
205.0,75.0
206.25,76.25
207.5,77.5
208.75,78.75
210.0,80.0
211.25,81.25
212.5,82.5
213.75,83.75
215.0,85.0
216.25,86.25
217.5,87.5
218.75,88.75
220.0,90.0
221.25,91.25
222.5,92.5
223.75,93.75
225.0,95.0
226.25,96.25
227.5,97.5
228.75,98.75
230,100
