X,Y
50.0,20.0
51.25,21.25
52.5,22.5
53.75,23.75
55.0,25.0
56.25,26.25
57.5,27.5
58.75,28.75
60.0,30.0
61.25,31.25
62.5,32.5
63.75,33.75
65.0,35.0
66.25,36.25
67.5,37.5
68.75,38.75
70.0,40.0
71.25,41.25
72.5,42.5
73.75,43.75
75.0,45.0
76.25,46.25
77.5,47.5
78.75,48.75
80.0,50.0
81.25,51.25
82.5,52.5
83.75,53.75
85.0,55.0
86.25,55.0
87.5,55.0
88.75,55.0
90.0,55.0
91.25,55.0
92.5,55.0
93.75,55.0
95.0,56.25
96.25,57.5
97.5,58.75
98.75,60.0
100.0,61.25
101.25,62.5
102.5,63.75
103.75,65.0
105.0,66.25
106.25,66.25
107.5,66.25
108.75,66.25
110.0,66.25
111.25,66.25
112.5,66.25
113.75,66.25
115.0,66.25
116.25,66.25
117.5,67.5
118.75,68.75
120.0,70.0
121.25,71.25
122.5,72.5
123.75,73.75
125.0,75.0
126.25,76.25
127.5,77.5
128.75,78.75
130.0,80.0
131.25,81.25
132.5,82.5
133.75,83.75
135.0,85.0
136.25,86.25
137.5,87.5
138.75,88.75
140.0,90.0
141.25,91.25
142.5,92.5
143.75,93.75
145.0,95.0
146.25,96.25
147.5,97.5
148.75,98.75
150.0,100.0
151.25,101.25
152.5,102.5
153.75,103.75
155.0,105.0
156.25,106.25
157.5,107.5
158.75,108.75
160.0,110.0
161.25,111.25
162.5,112.5
163.75,113.75
165.0,115.0
166.25,116.25
167.5,117.5
168.75,118.75
170.0,120.0
171.25,121.25
172.5,122.5
173.75,123.75
175.0,125.0
176.25,126.25
177.5,127.5
178.75,128.75
180.0,130.0
181.25,131.25
182.5,132.5
183.75,133.75
185.0,135.0
186.25,136.25
187.5,137.5
188.75,138.75
190.0,140.0
191.25,141.25
192.5,142.5
193.75,143.75
195.0,145.0
196.25,146.25
197.5,147.5
198.75,148.75
200.0,150.0
201.25,151.25
202.5,152.5
203.75,153.75
205.0,155.0
206.25,156.25
207.5,157.5
208.75,158.75
210.0,160.0
211.25,161.25
212.5,162.5
213.75,163.75
215.0,165.0
216.25,166.25
217.5,167.5
218.75,168.75
220.0,170.0
221.25,171.25
222.5,172.5
223.75,173.75
225.0,175.0
226.25,176.25
227.5,177.5
228.75,178.75
230,180
