X,Y
100.0,40.0
100.0,40.0
100.0,41.25
100.0,42.5
100.0,43.75
100.0,45.0
100.0,46.25
100.0,47.5
100.0,48.75
100.0,50.0
100.0,51.25
101.25,52.5
102.5,53.75
103.75,55.0
105.0,56.25
106.25,57.5
107.5,58.75
108.75,60.0
110.0,61.25
111.25,62.5
112.5,63.75
113.75,65.0
115.0,66.25
116.25,67.5
116.25,68.75
116.25,70.0
116.25,71.25
116.25,72.5
116.25,73.75
116.25,75.0
116.25,76.25
116.25,77.5
115.0,78.75
113.75,80.0
112.5,81.25
111.25,82.5
111.25,83.75
111.25,85.0
110.0,86.25
110.0,87.5
110.0,88.75
110.0,90.0
110.0,91.25
108.75,91.25
107.5,91.25
106.25,91.25
105.0,91.25
103.75,91.25
102.5,91.25
101.25,91.25
100.0,91.25
100.0,92.5
100.0,93.75
100.0,95.0
100.0,96.25
100.0,97.5
100.0,98.75
100.0,100.0
100.0,101.25
100.0,102.5
100.0,103.75
100.0,105.0
100.0,106.25
100.0,107.5
100.0,108.75
100.0,110.0
100.0,111.25
100.0,112.5
100.0,113.75
100.0,115.0
100.0,116.25
100.0,117.5
100.0,118.75
100.0,120.0
100.0,121.25
100.0,122.5
100.0,123.75
100.0,125.0
100.0,126.25
100.0,127.5
100.0,128.75
100.0,130.0
100.0,131.25
100.0,132.5
100.0,133.75
100.0,135.0
100.0,136.25
100.0,137.5
100.0,138.75
