X,Y
60.0,80.0
61.25,81.25
62.5,82.5
63.75,83.75
65.0,85.0
66.25,86.25
67.5,87.5
68.75,88.75
70.0,88.75
71.25,90.0
72.5,90.0
73.75,90.0
75.0,90.0
76.25,90.0
77.5,90.0
78.75,90.0
80.0,90.0
81.25,90.0
82.5,90.0
83.75,90.0
85.0,90.0
86.25,90.0
87.5,90.0
88.75,90.0
90.0,90.0
91.25,90.0
92.5,90.0
93.75,90.0
95.0,91.25
96.25,91.25
97.5,91.25
98.75,91.25
100.0,91.25
101.25,91.25
102.5,91.25
103.75,91.25
105.0,91.25
106.25,91.25
107.5,90.0
108.75,88.75
110.0,87.5
111.25,86.25
112.5,85.0
113.75,85.0
115.0,85.0
116.25,85.0
117.5,85.0
118.75,85.0
120.0,85.0
121.25,85.0
122.5,85.0
123.75,85.0
125.0,85.0
126.25,85.0
127.5,85.0
128.75,85.0
130.0,85.0
131.25,85.0
132.5,85.0
133.75,85.0
135.0,85.0
136.25,85.0
137.5,85.0
138.75,85.0
140.0,85.0
141.25,85.0
142.5,85.0
143.75,85.0
145.0,85.0
146.25,85.0
147.5,85.0
148.75,85.0
150.0,85.0
151.25,85.0
152.5,85.0
153.75,85.0
155.0,85.0
156.25,83.75
157.5,82.5
158.75,81.25
160,80
