X,Y
60.0,80.0
61.25,81.25
62.5,82.5
63.75,83.75
65.0,85.0
66.25,86.25
67.5,87.5
68.75,88.75
70.0,90.0
71.25,91.25
72.5,91.25
73.75,91.25
75.0,91.25
76.25,91.25
77.5,91.25
78.75,91.25
80.0,91.25
81.25,91.25
82.5,91.25
83.75,91.25
85.0,91.25
86.25,91.25
87.5,91.25
88.75,91.25
90.0,91.25
91.25,91.25
92.5,91.25
93.75,91.25
95.0,91.25
96.25,91.25
97.5,91.25
98.75,91.25
100.0,91.25
101.25,91.25
102.5,91.25
103.75,91.25
105.0,92.5
106.25,92.5
107.5,92.5
108.75,93.75
110.0,93.75
111.25,93.75
112.5,93.75
113.75,95.0
115.0,95.0
116.25,95.0
117.5,95.0
118.75,95.0
120.0,95.0
121.25,95.0
122.5,95.0
123.75,95.0
125.0,95.0
126.25,95.0
127.5,95.0
128.75,95.0
130.0,95.0
131.25,95.0
132.5,95.0
133.75,95.0
135.0,95.0
136.25,95.0
137.5,95.0
138.75,95.0
140.0,95.0
141.25,95.0
142.5,95.0
143.75,95.0
145.0,95.0
146.25,93.75
147.5,92.5
148.75,91.25
150.0,90.0
151.25,88.75
152.5,87.5
153.75,86.25
155.0,85.0
156.25,83.75
157.5,82.5
158.75,81.25
160,80
