X,Y
230.0,180.0
230.0,180.0
228.75,181.25
226.25,182.5
225.0,183.75
223.75,185.0
221.25,186.25
218.75,187.5
216.25,188.75
215.0,190.0
212.5,191.25
210.0,192.5
207.5,193.75
205.0,195.0
202.5,196.25
200.0,197.5
197.5,198.75
195.0,200.0
192.5,201.25
190.0,202.5
187.5,203.75
185.0,202.5
182.5,201.25
177.5,201.25
176.25,202.5
173.75,203.75
171.25,205.0
166.25,205.0
163.75,206.25
161.25,207.5
156.25,207.5
153.75,208.75
151.25,210.0
148.75,211.25
143.75,211.25
141.25,212.5
138.75,213.75
136.25,212.5
133.75,211.25
131.25,210.0
128.75,208.75
126.25,207.5
123.75,206.25
121.25,205.0
118.75,203.75
116.25,202.5
113.75,201.25
111.25,200.0
110.0,198.75
107.5,200.0
105.0,201.25
100.0,201.25
97.5,200.0
95.0,198.75
93.75,197.5
91.25,196.25
88.75,195.0
86.25,193.75
83.75,192.5
81.25,191.25
78.75,190.0
76.25,188.75
71.25,188.75
66.25,188.75
63.75,187.5
61.25,186.25
58.75,185.0
56.25,183.75
53.75,182.5
51.25,181.25
