X,Y
230.0,180.0
230.0,180.0
228.75,182.5
227.5,185.0
226.25,186.25
225.0,188.75
223.75,191.25
222.5,193.75
221.25,193.75
220.0,193.75
218.75,193.75
217.5,193.75
216.25,193.75
215.0,193.75
213.75,193.75
212.5,193.75
211.25,193.75
210.0,193.75
208.75,193.75
207.5,193.75
206.25,193.75
205.0,193.75
203.75,193.75
202.5,193.75
201.25,193.75
200.0,193.75
198.75,193.75
197.5,193.75
196.25,193.75
195.0,193.75
193.75,193.75
192.5,195.0
191.25,195.0
188.75,196.25
187.5,197.5
186.25,197.5
185.0,197.5
183.75,197.5
182.5,197.5
181.25,197.5
180.0,197.5
178.75,197.5
177.5,197.5
176.25,197.5
175.0,197.5
173.75,197.5
172.5,197.5
171.25,197.5
170.0,197.5
168.75,197.5
167.5,197.5
166.25,197.5
165.0,197.5
163.75,197.5
162.5,197.5
161.25,197.5
160.0,197.5
158.75,197.5
157.5,197.5
156.25,197.5
155.0,197.5
153.75,197.5
152.5,197.5
151.25,197.5
150.0,197.5
148.75,197.5
147.5,197.5
146.25,197.5
145.0,197.5
143.75,197.5
142.5,197.5
141.25,197.5
140.0,197.5
138.75,197.5
137.5,197.5
136.25,197.5
135.0,197.5
133.75,197.5
132.5,197.5
131.25,197.5
130.0,197.5
128.75,197.5
127.5,197.5
126.25,197.5
125.0,197.5
123.75,197.5
122.5,197.5
121.25,197.5
120.0,197.5
118.75,197.5
117.5,197.5
116.25,197.5
115.0,197.5
113.75,197.5
112.5,197.5
111.25,197.5
110.0,197.5
108.75,197.5
107.5,197.5
106.25,197.5
105.0,197.5
103.75,197.5
102.5,197.5
101.25,197.5
100.0,197.5
98.75,197.5
97.5,197.5
96.25,197.5
95.0,197.5
93.75,197.5
92.5,197.5
91.25,197.5
90.0,197.5
88.75,197.5
87.5,197.5
86.25,197.5
85.0,197.5
83.75,197.5
82.5,197.5
81.25,197.5
80.0,197.5
78.75,197.5
77.5,197.5
76.25,197.5
75.0,197.5
73.75,197.5
72.5,197.5
71.25,197.5
70.0,197.5
68.75,197.5
67.5,197.5
66.25,197.5
65.0,195.0
63.75,192.5
62.5,190.0
61.25,187.5
60.0,187.5
58.75,187.5
57.5,187.5
56.25,187.5
55.0,187.5
53.75,187.5
52.5,185.0
51.25,185.0
50.0,185.0
50.0,183.75
50.0,182.5
50.0,181.25
