X,Y
50.0,100.0
50.0,100.0
51.25,100.0
53.75,101.25
56.25,102.5
58.75,103.75
61.25,105.0
62.5,105.0
63.75,105.0
65.0,105.0
66.25,105.0
67.5,105.0
70.0,106.25
71.25,106.25
72.5,106.25
75.0,107.5
77.5,108.75
80.0,110.0
82.5,111.25
83.75,112.5
86.25,113.75
88.75,115.0
91.25,116.25
92.5,116.25
93.75,116.25
95.0,116.25
96.25,116.25
97.5,116.25
98.75,116.25
100.0,116.25
101.25,116.25
102.5,116.25
103.75,116.25
105.0,116.25
106.25,116.25
107.5,116.25
108.75,116.25
110.0,116.25
111.25,116.25
112.5,116.25
113.75,116.25
115.0,116.25
116.25,116.25
117.5,116.25
120.0,115.0
122.5,113.75
125.0,112.5
127.5,111.25
130.0,110.0
132.5,108.75
135.0,107.5
136.25,107.5
137.5,107.5
140.0,106.25
142.5,105.0
143.75,103.75
146.25,102.5
148.75,101.25
