X,Y
60.0,80.0
61.25,81.25
62.5,82.5
63.75,83.75
65.0,85.0
66.25,86.25
67.5,87.5
68.75,88.75
70.0,90.0
71.25,91.25
72.5,91.25
73.75,91.25
75.0,91.25
76.25,91.25
77.5,91.25
78.75,91.25
80.0,91.25
81.25,91.25
82.5,91.25
83.75,91.25
85.0,91.25
86.25,91.25
87.5,91.25
88.75,91.25
90.0,91.25
91.25,91.25
92.5,91.25
93.75,91.25
95.0,91.25
96.25,91.25
97.5,91.25
98.75,91.25
100.0,91.25
101.25,91.25
102.5,91.25
103.75,91.25
105.0,92.5
106.25,92.5
107.5,92.5
108.75,92.5
110.0,92.5
111.25,92.5
112.5,93.75
113.75,93.75
115.0,93.75
116.25,93.75
117.5,93.75
118.75,93.75
120.0,93.75
121.25,93.75
122.5,93.75
123.75,93.75
125.0,93.75
126.25,93.75
127.5,93.75
128.75,93.75
130.0,93.75
131.25,93.75
132.5,93.75
133.75,93.75
135.0,93.75
136.25,93.75
137.5,93.75
138.75,93.75
140.0,93.75
141.25,93.75
142.5,93.75
143.75,93.75
145.0,93.75
146.25,92.5
147.5,91.25
148.75,90.0
150.0,88.75
151.25,87.5
152.5,86.25
153.75,85.0
155.0,83.75
156.25,82.5
157.5,81.25
158.75,81.25
160,80
