X,Y
100.0,20.0
100.0,20.0
100.0,21.25
100.0,22.5
100.0,23.75
100.0,25.0
100.0,26.25
100.0,27.5
100.0,28.75
100.0,30.0
100.0,31.25
100.0,32.5
100.0,33.75
100.0,35.0
100.0,36.25
100.0,37.5
100.0,38.75
100.0,40.0
100.0,41.25
100.0,42.5
100.0,43.75
100.0,45.0
100.0,46.25
100.0,47.5
100.0,48.75
100.0,50.0
100.0,51.25
100.0,52.5
100.0,53.75
100.0,55.0
100.0,56.25
100.0,57.5
100.0,58.75
100.0,60.0
100.0,61.25
100.0,62.5
100.0,63.75
100.0,65.0
100.0,66.25
100.0,67.5
100.0,68.75
100.0,70.0
100.0,71.25
100.0,72.5
100.0,73.75
100.0,75.0
100.0,76.25
100.0,77.5
100.0,78.75
100.0,80.0
100.0,81.25
100.0,82.5
100.0,83.75
100.0,85.0
100.0,86.25
100.0,87.5
100.0,88.75
100.0,90.0
100.0,91.25
100.0,92.5
100.0,93.75
100.0,95.0
100.0,96.25
100.0,97.5
100.0,98.75
