X,Y
100.0,40.0
100.0,41.25
100.0,42.5
100.0,43.75
100.0,45.0
100.0,46.25
100.0,47.5
100.0,48.75
100.0,50.0
100.0,51.25
100.0,52.5
101.25,53.75
102.5,55.0
103.75,56.25
105.0,57.5
106.25,58.75
107.5,60.0
108.75,61.25
110.0,62.5
111.25,63.75
112.5,65.0
113.75,66.25
115.0,67.5
116.25,68.75
116.25,70.0
116.25,71.25
116.25,72.5
116.25,73.75
116.25,75.0
116.25,76.25
116.25,77.5
116.25,78.75
116.25,80.0
115.0,81.25
113.75,82.5
112.5,83.75
111.25,85.0
110.0,86.25
110.0,87.5
108.75,88.75
108.75,90.0
108.75,91.25
110.0,92.5
111.25,93.75
112.5,95.0
113.75,96.25
113.75,97.5
113.75,98.75
113.75,100.0
113.75,101.25
113.75,102.5
113.75,103.75
113.75,105.0
113.75,106.25
113.75,107.5
113.75,108.75
113.75,110.0
113.75,111.25
113.75,112.5
113.75,113.75
113.75,115.0
113.75,116.25
113.75,117.5
113.75,118.75
113.75,120.0
113.75,121.25
113.75,122.5
113.75,123.75
113.75,125.0
113.75,126.25
112.5,127.5
111.25,128.75
110.0,130.0
108.75,131.25
107.5,132.5
106.25,133.75
105.0,135.0
103.75,136.25
102.5,137.5
101.25,138.75
100,140
