X,Y
130.0,20.0
131.25,22.5
132.5,23.75
133.75,25.0
135.0,26.25
136.25,27.5
137.5,28.75
138.75,30.0
140.0,31.25
141.25,32.5
142.5,33.75
143.75,35.0
145.0,36.25
146.25,37.5
147.5,38.75
148.75,40.0
150.0,41.25
151.25,42.5
152.5,43.75
153.75,45.0
155.0,46.25
156.25,47.5
157.5,48.75
160.0,50.0
162.5,51.25
165.0,52.5
167.5,53.75
170.0,55.0
172.5,56.25
175.0,57.5
177.5,58.75
180.0,60.0
182.5,61.25
185.0,62.5
186.25,63.75
188.75,65.0
190.0,66.25
191.25,67.5
193.75,68.75
196.25,70.0
197.5,71.25
200.0,72.5
202.5,73.75
205.0,75.0
206.25,76.25
207.5,77.5
208.75,78.75
210.0,80.0
211.25,81.25
212.5,82.5
213.75,83.75
215.0,85.0
216.25,86.25
218.75,87.5
220.0,88.75
221.25,90.0
222.5,91.25
223.75,92.5
225.0,93.75
226.25,95.0
227.5,96.25
228.75,97.5
230,100
