X,Y
50.0,100.0
50.0,100.0
51.25,101.25
52.5,101.25
53.75,101.25
55.0,101.25
56.25,101.25
57.5,101.25
58.75,102.5
60.0,103.75
61.25,105.0
62.5,106.25
63.75,107.5
65.0,108.75
66.25,110.0
67.5,111.25
68.75,112.5
70.0,113.75
71.25,115.0
72.5,116.25
73.75,116.25
75.0,116.25
76.25,116.25
77.5,116.25
78.75,116.25
80.0,116.25
81.25,116.25
82.5,116.25
83.75,116.25
85.0,116.25
86.25,116.25
87.5,116.25
88.75,117.5
90.0,117.5
91.25,117.5
92.5,117.5
93.75,117.5
95.0,117.5
96.25,117.5
97.5,117.5
98.75,118.75
100.0,120.0
101.25,120.0
102.5,120.0
103.75,120.0
105.0,120.0
106.25,120.0
107.5,120.0
108.75,120.0
110.0,120.0
111.25,120.0
112.5,120.0
113.75,120.0
115.0,120.0
116.25,120.0
117.5,120.0
118.75,120.0
120.0,120.0
121.25,120.0
122.5,120.0
123.75,120.0
125.0,120.0
126.25,120.0
127.5,120.0
128.75,120.0
130.0,120.0
131.25,120.0
132.5,120.0
133.75,120.0
135.0,120.0
136.25,120.0
137.5,120.0
138.75,120.0
140.0,120.0
141.25,120.0
142.5,120.0
143.75,120.0
145.0,120.0
146.25,120.0
147.5,120.0
148.75,120.0
150.0,120.0
151.25,120.0
152.5,120.0
153.75,120.0
155.0,120.0
156.25,120.0
157.5,120.0
158.75,120.0
160.0,120.0
161.25,120.0
162.5,120.0
163.75,120.0
165.0,120.0
166.25,120.0
167.5,120.0
168.75,120.0
170.0,120.0
171.25,120.0
172.5,120.0
173.75,120.0
175.0,120.0
176.25,120.0
177.5,120.0
178.75,120.0
180.0,120.0
181.25,120.0
182.5,120.0
183.75,120.0
185.0,120.0
186.25,120.0
187.5,120.0
188.75,120.0
190.0,120.0
191.25,120.0
192.5,120.0
193.75,118.75
195.0,117.5
196.25,116.25
197.5,116.25
198.75,116.25
200.0,116.25
201.25,116.25
202.5,116.25
203.75,115.0
205.0,113.75
206.25,113.75
207.5,113.75
208.75,112.5
210.0,111.25
211.25,111.25
212.5,110.0
213.75,110.0
215.0,108.75
216.25,107.5
217.5,106.25
218.75,105.0
220.0,103.75
221.25,102.5
222.5,101.25
223.75,101.25
225.0,101.25
226.25,101.25
227.5,101.25
228.75,100.0
230,100
