X,Y
50.0,100.0
50.0,100.0
52.5,101.25
55.0,102.5
57.5,103.75
60.0,105.0
62.5,106.25
65.0,107.5
67.5,108.75
70.0,110.0
72.5,111.25
73.75,111.25
76.25,112.5
77.5,112.5
80.0,113.75
82.5,115.0
85.0,116.25
87.5,117.5
90.0,118.75
92.5,120.0
95.0,121.25
96.25,121.25
98.75,122.5
101.25,123.75
102.5,123.75
103.75,123.75
105.0,123.75
106.25,123.75
107.5,123.75
108.75,123.75
110.0,123.75
111.25,123.75
112.5,123.75
113.75,123.75
115.0,123.75
116.25,123.75
117.5,123.75
118.75,123.75
120.0,123.75
121.25,123.75
122.5,123.75
123.75,123.75
125.0,123.75
126.25,123.75
127.5,123.75
128.75,123.75
130.0,123.75
131.25,123.75
132.5,123.75
133.75,123.75
135.0,123.75
136.25,123.75
137.5,123.75
138.75,123.75
140.0,123.75
141.25,123.75
142.5,123.75
143.75,123.75
146.25,122.5
147.5,122.5
148.75,122.5
150.0,122.5
151.25,122.5
152.5,122.5
153.75,122.5
156.25,121.25
157.5,121.25
158.75,121.25
160.0,121.25
161.25,121.25
162.5,121.25
163.75,121.25
165.0,121.25
166.25,121.25
167.5,121.25
168.75,121.25
170.0,121.25
171.25,121.25
172.5,121.25
173.75,121.25
175.0,121.25
177.5,120.0
178.75,120.0
180.0,120.0
181.25,120.0
182.5,120.0
185.0,118.75
187.5,117.5
190.0,116.25
191.25,116.25
193.75,115.0
195.0,115.0
196.25,115.0
197.5,115.0
200.0,113.75
202.5,112.5
205.0,111.25
206.25,110.0
208.75,108.75
211.25,107.5
213.75,106.25
215.0,106.25
216.25,106.25
218.75,105.0
221.25,103.75
223.75,102.5
226.25,101.25
228.75,100.0
230,100
