X,Y
50.0,100.0
52.5,101.25
55.0,102.5
57.5,103.75
60.0,105.0
62.5,106.25
65.0,107.5
67.5,108.75
70.0,110.0
72.5,111.25
73.75,111.25
76.25,112.5
77.5,112.5
80.0,113.75
82.5,115.0
85.0,116.25
87.5,117.5
90.0,118.75
92.5,120.0
95.0,121.25
96.25,121.25
97.5,121.25
100.0,122.5
101.25,122.5
102.5,122.5
103.75,122.5
105.0,122.5
106.25,122.5
107.5,122.5
108.75,122.5
110.0,122.5
111.25,122.5
112.5,122.5
113.75,122.5
115.0,122.5
116.25,122.5
117.5,122.5
118.75,122.5
120.0,122.5
121.25,122.5
122.5,122.5
123.75,122.5
125.0,122.5
126.25,122.5
127.5,122.5
128.75,122.5
130.0,122.5
131.25,122.5
132.5,122.5
133.75,122.5
135.0,122.5
136.25,122.5
137.5,122.5
138.75,122.5
140.0,122.5
141.25,122.5
142.5,122.5
143.75,122.5
145.0,122.5
146.25,122.5
147.5,122.5
148.75,122.5
150.0,122.5
151.25,122.5
152.5,122.5
153.75,122.5
155.0,122.5
156.25,122.5
157.5,122.5
158.75,122.5
160.0,122.5
161.25,122.5
162.5,122.5
163.75,122.5
165.0,122.5
166.25,122.5
167.5,122.5
168.75,122.5
170.0,122.5
171.25,122.5
172.5,122.5
173.75,122.5
175.0,122.5
177.5,121.25
178.75,121.25
180.0,121.25
181.25,121.25
182.5,121.25
183.75,121.25
185.0,121.25
187.5,120.0
190.0,118.75
192.5,117.5
195.0,116.25
197.5,115.0
200.0,113.75
202.5,112.5
205.0,111.25
207.5,110.0
210.0,108.75
212.5,107.5
215.0,106.25
216.25,106.25
218.75,105.0
221.25,103.75
223.75,102.5
226.25,101.25
228.75,100.0
230,100
