X Y U V
2.217090000000000032e+02 2.652249999999999885e-01 3.286150000000000126e+00 1.403289999999999919e-02
2.233389999999999986e+02 1.931869999999999976e+00 3.286150000000000126e+00 1.403289999999999919e-02
2.216719999999999970e+02 3.598170000000000091e+00 3.286150000000000126e+00 1.403289999999999919e-02
2.416709999999999923e+02 3.337260000000000115e+00 3.701439999999999841e+00 -7.571729999999999849e-01
2.433379999999999939e+02 1.671140000000000070e+00 3.701439999999999841e+00 -7.571729999999999849e-01
2.616689999999999827e+02 3.336770000000000014e+00 4.057579999999999742e+00 -2.499979999999999980e-01
2.633349999999999795e+02 1.670719999999999983e+00 4.057579999999999742e+00 -2.499979999999999980e-01
2.833340000000000032e+02 1.666879999999999917e+00 4.415639999999999787e+00 -5.208150000000000279e-01
2.816669999999999732e+02 3.332949999999999857e+00 4.415639999999999787e+00 -5.208150000000000279e-01
3.033330000000000268e+02 1.664889999999999981e+00 4.162410000000000387e+00 4.486020000000000008e-01
3.016659999999999968e+02 3.330940000000000012e+00 4.162410000000000387e+00 4.486020000000000008e-01
3.216650000000000205e+02 1.665040000000000076e+00 3.672979999999999912e+00 1.170069999999999943e+00
3.233310000000000173e+02 3.331809999999999938e+00 3.672979999999999912e+00 1.170069999999999943e+00
3.416610000000000014e+02 1.667240000000000055e+00 2.027649999999999952e+00 4.334819999999999784e-01
3.433279999999999745e+02 3.334429999999999783e+00 2.027649999999999952e+00 4.334819999999999784e-01
3.616610000000000014e+02 1.668979999999999908e+00 2.728870000000000129e+00 1.210029999999999939e+00
3.633279999999999745e+02 3.336160000000000014e+00 2.728870000000000129e+00 1.210029999999999939e+00
3.833279999999999745e+02 4.902519999999999989e+00 3.512350000000000083e+00 2.369860000000000022e-01
3.825079999999999814e+02 3.235430000000000028e+00 3.512350000000000083e+00 2.369860000000000022e-01
3.808410000000000082e+02 1.668090000000000073e+00 3.512350000000000083e+00 2.369860000000000022e-01
2.216699999999999875e+02 2.116049999999999898e+01 3.539379999999999971e+00 -7.984590000000000298e-01
2.233369999999999891e+02 2.282720000000000127e+01 3.539379999999999971e+00 -7.984590000000000298e-01
2.218149999999999977e+02 2.449370000000000047e+01 3.539379999999999971e+00 -7.984590000000000298e-01
2.416670000000000016e+02 2.333409999999999940e+01 3.585100000000000176e+00 8.986310000000000131e-02
2.433340000000000032e+02 2.166740000000000066e+01 3.585100000000000176e+00 8.986310000000000131e-02
2.616650000000000205e+02 2.332839999999999847e+01 3.343129999999999935e+00 -3.406410000000000271e-01
2.633319999999999936e+02 2.166159999999999997e+01 3.343129999999999935e+00 -3.406410000000000271e-01
2.833319999999999936e+02 2.165630000000000166e+01 3.617719999999999825e+00 5.892490000000000228e-02
2.816650000000000205e+02 2.332239999999999824e+01 3.617719999999999825e+00 5.892490000000000228e-02
3.016650000000000205e+02 2.165940000000000154e+01 3.611180000000000057e+00 7.011399999999999855e-01
3.033319999999999936e+02 2.332669999999999888e+01 3.611180000000000057e+00 7.011399999999999855e-01
3.216639999999999873e+02 2.166659999999999897e+01 4.084889999999999688e+00 1.039360000000000062e+00
3.233310000000000173e+02 2.333429999999999893e+01 4.084889999999999688e+00 1.039360000000000062e+00
3.433299999999999841e+02 2.333990000000000009e+01 4.563799999999999635e+00 -1.343800000000000029e-02
3.416630000000000109e+02 2.167239999999999966e+01 4.563799999999999635e+00 -1.343800000000000029e-02
3.633310000000000173e+02 2.334380000000000166e+01 5.131920000000000037e+00 9.031019999999999603e-01
3.616639999999999873e+02 2.167620000000000147e+01 5.131920000000000037e+00 9.031019999999999603e-01
3.833349999999999795e+02 2.334430000000000049e+01 5.416220000000000034e+00 9.018420000000000325e-01
3.816669999999999732e+02 2.167680000000000007e+01 5.416220000000000034e+00 9.018420000000000325e-01
4.016669999999999732e+02 2.167800000000000082e+01 4.525070000000000370e+00 1.577439999999999953e+00
4.033349999999999795e+02 2.334629999999999939e+01 4.525070000000000370e+00 1.577439999999999953e+00
4.216650000000000205e+02 2.168540000000000134e+01 3.793169999999999931e+00 3.264190000000000147e-01
4.233319999999999936e+02 2.335490000000000066e+01 3.793169999999999931e+00 3.264190000000000147e-01
4.433269999999999982e+02 2.409319999999999951e+01 4.222279999999999589e+00 -4.760860000000000092e-02
4.416610000000000014e+02 2.254189999999999827e+01 4.222279999999999589e+00 -4.760860000000000092e-02
2.433309999999999889e+02 4.166519999999999868e+01 3.408619999999999983e+00 2.007899999999999963e-01
2.416639999999999873e+02 4.333209999999999695e+01 3.408619999999999983e+00 2.007899999999999963e-01
2.633310000000000173e+02 4.165720000000000312e+01 3.067790000000000017e+00 2.197939999999999894e-01
2.616639999999999873e+02 4.332469999999999999e+01 3.067790000000000017e+00 2.197939999999999894e-01
2.816659999999999968e+02 4.165469999999999828e+01 3.305260000000000087e+00 2.083300000000000082e-02
2.833340000000000032e+02 4.332220000000000226e+01 3.305260000000000087e+00 2.083300000000000082e-02
3.033349999999999795e+02 4.332959999999999923e+01 3.281250000000000000e+00 2.185950000000000115e-01
3.016680000000000064e+02 4.166219999999999857e+01 3.281250000000000000e+00 2.185950000000000115e-01
3.233330000000000268e+02 4.333489999999999753e+01 3.510940000000000172e+00 1.280640000000000112e-01
3.216669999999999732e+02 4.166810000000000258e+01 3.510940000000000172e+00 1.280640000000000112e-01
3.416659999999999968e+02 4.167300000000000182e+01 3.169160000000000199e+00 -5.225290000000000212e-01
3.433330000000000268e+02 4.333979999999999677e+01 3.169160000000000199e+00 -5.225290000000000212e-01
3.616680000000000064e+02 4.168119999999999692e+01 3.324339999999999851e+00 1.975629999999999886e-01
3.633349999999999795e+02 4.334879999999999711e+01 3.324339999999999851e+00 1.975629999999999886e-01
3.833430000000000177e+02 4.335090000000000288e+01 3.315840000000000121e+00 5.909600000000000408e-01
3.816750000000000114e+02 4.168410000000000082e+01 3.315840000000000121e+00 5.909600000000000408e-01
4.033419999999999845e+02 4.334859999999999758e+01 3.690040000000000209e+00 3.059229999999999935e-02
4.016759999999999877e+02 4.168269999999999698e+01 3.690040000000000209e+00 3.059229999999999935e-02
4.233319999999999936e+02 4.335560000000000258e+01 4.040930000000000355e+00 -1.985649999999999915e-01
4.216659999999999968e+02 4.169030000000000058e+01 4.040930000000000355e+00 -1.985649999999999915e-01
4.433240000000000123e+02 4.169039999999999679e+01 4.723919999999999675e+00 -1.455880000000000021e-02
4.416580000000000155e+02 4.335589999999999833e+01 4.723919999999999675e+00 -1.455880000000000021e-02
4.633269999999999982e+02 4.168160000000000309e+01 4.771620000000000417e+00 -6.485340000000000549e-02
4.616589999999999918e+02 4.334810000000000230e+01 4.771620000000000417e+00 -6.485340000000000549e-02
2.633330000000000268e+02 6.166080000000000183e+01 3.210160000000000124e+00 1.190239999999999965e+00
2.616659999999999968e+02 6.332820000000000249e+01 3.210160000000000124e+00 1.190239999999999965e+00
2.833349999999999795e+02 6.332739999999999725e+01 2.832329999999999792e+00 2.025470000000000048e-01
2.816680000000000064e+02 6.166029999999999944e+01 2.832329999999999792e+00 2.025470000000000048e-01
3.033360000000000127e+02 6.332860000000000156e+01 2.373450000000000060e+00 -3.299259999999999970e-01
3.016689999999999827e+02 6.166210000000000235e+01 2.373450000000000060e+00 -3.299259999999999970e-01
3.233369999999999891e+02 6.332889999999999731e+01 2.699679999999999858e+00 -7.073270000000000390e-01
3.216700000000000159e+02 6.166270000000000095e+01 2.699679999999999858e+00 -7.073270000000000390e-01
3.416730000000000018e+02 6.166799999999999926e+01 3.053160000000000096e+00 -1.410949999999999982e-01
3.433410000000000082e+02 6.333520000000000039e+01 3.053160000000000096e+00 -1.410949999999999982e-01
3.616759999999999877e+02 6.168560000000000088e+01 3.020389999999999908e+00 8.974109999999999587e-01
3.633430000000000177e+02 6.335470000000000113e+01 3.020389999999999908e+00 8.974109999999999587e-01
